Pre-monsoon_2015 (meters below ground level),Pre-monsoon_2016 (meters below ground level),Pre-monsoon_2017 (meters below ground level),Pre-monsoon_2018 (meters below ground level),Pre-monsoon_2019 (meters below ground level),Pre-monsoon_2020 (meters below ground level),Pre-monsoon_2021 (meters below ground level),Pre-monsoon_2022 (meters below ground level),Label
22.9,26.4,26.5,27.2,27.7,31.3,30.1,25.0,1
61.6,63.5,64.7,69.25,67.0,67.4,68.1,67.1,1
3.25,3.8,3.75,3.88,4.0,4.2,4.95,4.0,0
33.53,33.53,34.84,35.0,39.62,39.66,39.9,39.0,1
50.2,53.3,55.6,57.9,64.98,69.7,75.8,72.7,1
16.9,16.9,16.9,16.9,16.9,14.3,16.9,16.9,0
18.0,18.14,18.2,18.25,18.4,16.43,13.7,14.08,0
33.1,38.3,36.6,52.85,50.1,26.0,33.1,5.64,0
7.2,12.3,11.0,9.4,16.0,18.4,14.2,13.1,0
37.9,34.1,33.9,37.1,35.0,29.7,31.5,31.8,1
8.5,8.1,9.5,9.2,8.8,6.8,6.9,7.9,0
15.4,24.7,31.2,15.8,55.6,57.1,58.2,51.4,1
2.1,3.3,2.9,0.9,1.75,0.45,0.7,0.0,0
12.0,12.0,8.2,7.15,7.3,6.0,5.3,5.0,0
4.75,4.45,3.25,3.3,4.0,9.0,2.85,2.35,0
6.2,7.7,7.1,7.0,6.7,2.9,6.5,5.9,0
7.7,7.9,8.6,8.2,8.5,8.0,6.1,6.0,0
66.2,68.0,68.0,67.65,72.58,77.75,78.65,75.3,1
6.8,6.8,6.9,6.1,8.0,8.0,5.6,5.5,0
8.9,12.7,12.5,12.1,12.4,10.2,10.5,10.5,0
52.7,62.17,56.78,60.0,58.25,54.85,51.7,49.7,1
15.9,14.7,15.95,15.0,13.6,12.3,10.8,7.0,0
55.63,55.71,57.5,58.72,58.88,59.12,60.5,62.0,1
17.54,20.46,25.22,19.8,23.7,17.4,15.75,15.2,0
25.75,25.8,25.63,25.83,26.98,27.85,30.1,29.4,1
29.9,31.1,33.03,34.87,36.82,35.7,34.5,33.35,1
7.4,7.5,8.9,8.5,7.9,11.55,5.8,7.0,0
9.9,9.5,9.4,7.1,9.9,8.1,8.2,6.1,0
12.5,10.5,13.6,12.7,15.25,12.5,8.2,8.85,0
12.96,11.44,18.14,16.33,19.73,19.79,16.42,12.63,0
36.5,38.0,38.5,37.1,39.3,37.9,37.8,38.5,1
9.8,8.6,2.2,9.15,9.0,9.1,9.4,7.1,0
73.9,74.8,74.9,75.4,80.6,86.9,82.0,82.7,1
87.4,87.1,86.5,86.15,86.1,85.6,85.2,85.1,1
23.58,16.3,16.05,16.22,35.1,36.54,38.25,35.75,1
108.9,111.6,110.05,113.6,118.85,109.0,106.2,112.5,1
41.3,41.8,43.5,44.96,47.92,47.7,46.28,46.63,1
12.4,15.8,15.7,14.8,14.5,15.1,12.8,13.5,0
10.6,10.75,10.73,10.83,11.78,12.7,12.8,13.3,0
8.75,8.55,8.1,8.05,7.65,7.65,6.8,6.6,0
2.3,5.0,5.1,5.6,5.46,5.2,3.5,4.6,0
70.3,69.5,70.1,69.2,70.7,70.3,70.6,70.1,1
10.8,10.4,9.2,9.7,7.15,12.1,14.0,13.0,0
21.0,21.2,21.85,19.8,22.2,22.6,23.3,21.95,0
56.2,58.3,59.35,59.6,62.15,62.65,64.15,65.05,1
8.1,11.9,9.95,9.65,6.7,11.2,11.9,9.18,0
58.4,66.2,66.5,67.7,89.98,89.68,95.9,98.05,1
10.6,10.0,9.6,10.1,10.6,8.1,9.0,8.9,0
10.7,10.7,12.0,10.0,12.0,10.3,8.8,8.7,0
8.74,10.01,10.7,11.7,8.95,9.33,9.15,8.2,0
9.05,11.25,10.0,10.8,14.25,12.55,12.65,10.0,0
18.0,19.1,19.8,20.02,22.05,21.15,23.4,23.65,0
19.08,19.58,20.08,18.0,16.07,15.39,14.21,19.75,0
11.48,13.47,13.99,14.55,15.5,16.4,15.45,14.98,0
27.57,27.72,28.0,28.25,28.5,28.75,31.02,31.5,1
36.58,36.58,35.72,36.52,41.14,42.19,42.4,42.0,1
80.3,80.9,84.4,86.9,93.7,94.2,89.0,90.2,1
3.95,4.15,3.98,4.08,4.98,6.1,6.3,6.2,0
21.85,23.7,24.7,24.3,26.1,25.5,24.8,25.7,1
9.6,10.15,12.3,12.25,12.55,13.1,13.4,13.95,0
6.9,12.1,8.1,12.3,6.4,5.9,7.9,5.3,0
8.02,8.38,6.64,10.2,7.19,7.94,7.08,7.27,0
62.74,62.82,65.0,66.42,66.52,67.95,69.9,71.0,1
14.3,11.75,12.1,13.5,16.4,5.8,12.4,14.3,0
5.7,10.0,5.4,3.1,6.1,5.0,8.9,4.3,0
